Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,3,Belien Yvon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,4,Zhu Ting,-,-,-,4,4,4,4,4,17,3,13,16,-,-,20,2,0 ,0.35 ,29 ,2 ,-,16,0.55 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,7,Pietrini Elena,-,-,-,1,-,1,1,1,10,4,5,10,1,-,26,3,0 ,0.12 ,22 ,1 ,-,8,0.36 ,-,2 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,8,Merlo Enrica,-,-,-,*,-,*,*,*,-,-,-,-,-,-,4,-,1 ,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,9,Mingardi Camilla,-,-,-,-,*,-,*,*,4,1,3,6,-,-,-,-,-,-,7 ,1 ,-,4,0.57 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,10,Yao Di,-,-,-,-,*,-,*,*,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,11,Shcherban Yana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,12,Angeloni Veronica,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,15,Washington Haleigh,-,-,-,5,5,5,5,5,9,6,7,19,2,1,-,-,-,-,8 ,-,-,7,0.88 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,17,Antropova Ekaterina,-,-,-,3,3,3,3,3,21,6,9,12,3,-,-,-,-,-,45 ,5 ,4,18,0.40 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,28,Castillo Brenda,L,-,-,*,*,*,*,*,-,-,-2,-,-,-,23,2,1 ,0.39 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,C,Savino Del Bene Scandicci,Scandicci,77,Di Iulio Isabella,-,-,-,6,6,6,6,6,6,6,6,18,-,6,-,-,-,-,2 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,1,Kuznetsova Sofya,-,-,-,3,4,3,4,*,15,4,2,11,4,1,29,5,1 ,0.31 ,28 ,1 ,3,13,0.46 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,3,Drews Danielle,-,-,-,*,-,*,*,3,5,1,-1,12,1,-,20,3,1 ,0.40 ,14 ,1 ,1,5,0.36 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,4,Klein Lankhorst Kim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,6,Cecconello Agnese,-,-,-,1,2,1,2,1,10,2,6,16,2,-,-,-,-,-,16 ,1 ,1,8,0.50 ,-,2 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,7,Caravello Lara,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,15,1,1 ,0.33 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,9,Agrifoglio Beatrice,-,-,-,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,10,Szakmary Greta,-,-,-,6,1,6,1,6,13,7,-,9,1,-,32,7,1 ,0.25 ,32 ,2 ,3,12,0.38 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,11,Gicquel Lucille,-,-,-,2,-,-,*,*,-,-,-2,2,-,-,-,-,-,-,7 ,1 ,1,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,12,Magazza Francesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,13,Signorile Noemi,-,C,-,5,6,5,6,5,3,2,2,18,1,1,-,-,-,-,2 ,-,-,2,1.00 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,14,Hall Anna,-,-,-,4,5,4,5,4,11,1,7,19,1,-,5,1,1 ,0.40 ,18 ,2 ,-,9,0.50 ,-,2 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,16,Caruso Sara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,18,Diop Binto,-,-,-,*,3,2,3,2,21,8,10,13,5,2,-,-,-,-,35 ,2 ,4,19,0.54 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3164,25/3/2023 ,20:30,1675 ,-,O,Cuneo Granda S.Bernardo,Cuneo,20,Gay Alice,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,1,Cazaute Helena,-,-,-,1,1,1,1,-,16,7,5,18,4,3,27,1,1 ,0.33 ,33 ,4 ,2,13,0.39 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,2,Morello Rachele,-,-,-,*,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,3,Rozanski Olivia,-,-,-,*,4,4,4,-,10,6,-4,12,4,-,33,2,1 ,0.45 ,31 ,5 ,3,10,0.32 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,4,Bosio Francesca,-,-,-,6,6,6,6,-,2,1,2,17,-,-,-,-,-,-,2 ,-,-,2,1.00 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,5,Spirito Ilaria,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,12,1,1 ,0.67 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,6,Fini Alessia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,7,Nervini Stella,-,-,-,4,-,-,*,-,1,-,1,2,-,-,3,-,1 ,1.00 ,1 ,-,-,1,1.00 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,8,Grobelna Kaja,-,-,-,3,3,3,3,-,18,7,13,15,1,-,-,-,-,-,51 ,2 ,2,17,0.33 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,10,Butler Brionne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,11,Storck Maja,-,-,-,*,*,*,*,-,2,-,1,-,-,-,-,-,-,-,6 ,-,1,2,0.33 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,12,Mazzaro Alessia,-,-,-,2,2,2,2,-,14,2,12,23,2,-,-,-,-,-,14 ,-,-,11,0.79 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,14,Kone Fatim Yassimina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,C,Reale Mutua Fenera Chieri,Chieri,17,Weitzel Camilla,-,-,-,5,5,5,5,-,11,5,10,12,1,-,3,-,1 ,0.67 ,14 ,-,-,7,0.50 ,-,4 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,1,Bovo Laura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,4,Butigan Bozana,-,-,-,5,5,5,5,-,8,4,7,11,-,-,1,-,-,-,9 ,1 ,-,4,0.44 ,-,4 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,6,Cecchetto Giada,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,20,2,1 ,0.40 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,7,Da Silva Lorrayna Marys,-,-,-,6,6,6,6,-,16,1,7,13,2,-,-,-,-,-,40 ,4 ,3,16,0.40 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,10,Cicola Luna,-,-,-,-,-,-,*,-,-,-,-,-,-,-,1,-,1 ,1.00 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,11,Turlà Sofia,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,13,May Mackenzie,-,-,-,*,*,-,-,-,-,-,-1,1,-,-,4,1,0 ,-,4 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,14,Frosini Giorgia,-,-,-,-,*,-,*,-,1,-,-1,2,1,-,-,-,-,-,4 ,-,1,1,0.25 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,16,Lanier Khalia,-,-,-,4,4,4,4,-,22,9,13,14,3,1,30,1,1 ,0.43 ,47 ,3 ,2,20,0.43 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,18,Cagnin Emma,-,-,-,1,1,1,1,-,3,2,-4,15,2,-,28,1,1 ,0.46 ,16 ,3 ,1,3,0.19 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,22,Stufi Federica,-,-,-,2,2,2,2,-,8,2,7,18,1,-,3,-,1 ,0.67 ,15 ,-,-,7,0.47 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3165,26/3/2023 ,17:00,1318 ,-,O,Volley Bergamo 1991,Bergamo,23,Gennari Giulia,-,-,-,3,3,3,3,-,5,3,1,16,3,1,-,-,-,-,6 ,-,1,2,0.33 ,-,2 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,1,Piani Vittoria,-,-,-,-,-,-,*,*,4,2,3,1,-,-,-,-,-,-,7 ,1 ,-,4,0.57 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,3,Furlan Eleonora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,5,Drews Andrea Carrie,-,-,-,6,5,6,5,6,19,6,6,12,3,1,-,-,-,-,48 ,5 ,5,18,0.38 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,6,D'Odorico Sofia,-,-,-,1,6,1,6,-,7,3,-4,12,2,1,28,2,1 ,0.36 ,19 ,5 ,2,5,0.26 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,7,Sirressi Imma,L,-,-,*,*,*,*,*,-,-,-,-,-,-,13,-,1 ,0.62 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,8,Aleksic Maja,-,-,-,2,1,2,1,2,11,2,7,21,2,-,-,-,-,-,17 ,1 ,1,8,0.47 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,9,Papa Valeria,-,-,-,-,-,-,*,1,4,-,1,6,-,-,11,-,0 ,0.18 ,11 ,-,3,4,0.36 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,11,Mancini Giulia,-,-,-,5,4,5,4,5,16,6,15,13,-,-,-,-,-,-,14 ,-,1,7,0.50 ,-,9 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,12,Hancock Micha Danielle,-,-,-,3,2,3,2,3,5,3,2,22,3,2,-,-,-,-,6 ,-,-,3,0.50 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,13,Barbero Emma,-,-,-,*,*,*,*,-,-,-,-1,-,-,-,4,1,1 ,0.50 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,14,Berti Beatrice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,15,Kosheleva Tatiana,-,C,-,4,3,4,3,4,18,10,2,19,2,-,43,6,0 ,0.14 ,41 ,3 ,5,17,0.41 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,18,Ioni Alice 0,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,C,Megabox Ond. Savio Vallefoglia,Vallefoglia,22,Lazàro Castellanos Raquel,-,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,2,Provaroni Claudia,-,-,-,*,*,*,*,*,-,-,-,2,-,-,9,-,1 ,0.33 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,4,Avenia Giorgia,-,-,-,*,*,*,*,*,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,5,Polder Tessa,-,-,-,6,6,6,5,5,8,4,7,6,-,-,-,-,-,-,10 ,1 ,-,3,0.30 ,-,5 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,6,Gardini Beatrice,-,-,-,5,5,5,4,4,20,7,1,14,4,2,40,9,0 ,0.20 ,48 ,1 ,5,18,0.38 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,7,Galkowska Monika,-,-,-,4,4,4,3,3,22,5,12,22,3,1,2,-,1 ,-,42 ,1 ,6,18,0.43 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,8,Rumori Chiara,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,9,Santos Raymariely,-,-,-,1,1,1,6,6,6,3,4,19,2,1,-,-,-,-,2 ,-,-,2,1.00 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,10,Armini Martina,L,-,-,*,*,*,*,*,-,-,-1,-,-,-,14,1,1 ,0.43 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,12,Guerra Anastasia,-,C,-,-,-,*,1,1,12,4,6,6,1,-,12,2,0 ,0.25 ,20 ,2 ,1,9,0.45 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,13,Galic Anamarija,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,14,Garcia Clémence,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,17,Nwakalor Linda,-,-,-,3,3,3,2,2,8,3,5,22,1,1,1,-,-,-,11 ,-,2,4,0.36 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3166,26/3/2023 ,21:00,985 ,-,O,Bartoccini-Fortinfissi Perugia,Perugia,18,Lazic Alexandra,-,-,-,2,2,2,-,-,4,1,-,7,-,-,16,2,1 ,0.25 ,14 ,2 ,-,4,0.29 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,1,Carlini Lauren,-,-,-,5,4,2,1,-,2,1,1,12,1,-,-,-,-,-,4 ,-,-,1,0.25 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,2,Scola Francesca,-,-,-,*,-,*,-,-,-,-,-1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,3,Perinelli Elena,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,21,1,1 ,0.29 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,4,Piva Rebecca,-,-,-,3,2,6,5,-,14,3,10,17,2,1,21,-,1 ,0.33 ,29 ,1 ,1,13,0.45 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,5,Frantti Alexandra,-,-,-,6,5,3,2,-,6,4,-4,16,2,2,38,2,1 ,0.18 ,32 ,3 ,3,4,0.13 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,6,Braga Lara 0,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,7,Lohuis Juliet,-,-,-,4,3,1,6,-,14,2,10,14,-,1,1,-,1 ,-,22 ,2 ,2,10,0.45 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,8,Buzzerio Courtney,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,9,Melandri Laura,-,-,-,1,6,4,3,-,10,4,7,12,-,-,1,-,1 ,-,15 ,2 ,1,7,0.47 ,-,3 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,10,Malual Adhuoljok John Majak,-,-,-,*,-,*,-,-,1,1,-2,2,-,-,-,-,-,-,5 ,2 ,1,1,0.20 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,11,De Bortoli Chiara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,14,Dimitrova Emiliya,-,C,-,2,1,5,4,-,17,3,8,11,1,-,-,-,-,-,37 ,4 ,4,17,0.46 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,16,Mangani Linda,-,-,-,-,-,*,-,-,1,-,1,1,-,-,6,-,1 ,-,2 ,-,-,1,0.50 ,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,18,Sartori Benedetta Maria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,O,E-Work Busto Arsizio,Busto Arsizio,1,Battista Valeria,-,-,-,-,-,*,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,O,E-Work Busto Arsizio,Busto Arsizio,2,Degradi Alice,-,-,-,5,-,*,-,-,-,-,-3,3,1,-,2,-,-,-,9 ,1 ,1,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,O,E-Work Busto Arsizio,Busto Arsizio,3,Lloyd Carli,-,-,-,1,6,1,6,-,5,3,4,19,-,1,-,-,-,-,6 ,1 ,-,3,0.50 ,-,1 ,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,O,E-Work Busto Arsizio,Busto Arsizio,5,Monza Sofia,-,-,-,*,*,*,*,-,-,-,-1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,2nd,11,-,3167,26/3/2023 ,17:00,2223 ,-,O,E-Work Busto Arsizio,Busto Arsizio,7,Montibeller Rosamaria,-,-,-,4,3,4,3,-,17,4,9,12,2,-,1,-,1 ,1.00 ,43 ,5 ,1,16,0.37 ,-,1 ,,
