Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,
2023/2024,A1,Regular_Season,2nd,12,-,3169,17/3/2024 ,19:30,1.855 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,15,Omoruyi Loveth Oghosasere,-,-,-,1,1,1,-,-,10,3,5,12,1,-,34,2,1 ,12%,24 ,1 ,1,9,38%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3169,17/3/2024 ,19:30,1.855 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,16,Zakchaiou Katerina,-,-,-,5,5,-,-,-,9,4,8,6,1,-,-,-,-,-,6 ,-,-,6,100%,-,3 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3169,17/3/2024 ,19:30,1.855 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,17,Weitzel Camilla,-,-,-,*,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3169,17/3/2024 ,19:30,1.855 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,23,Malinov Ofelia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,1,Szakmary Greta,-,-,-,1,1,-,-,-,3,1,-3,13,-,1,17,2,0 ,29%,13 ,1 ,3,2,15%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,3,Guidi Ludovica,-,-,-,-,-,*,-,-,2,1,1,1,-,-,-,-,-,-,5 ,-,1,2,40%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,4,Bosio Francesca,-,-,-,6,6,5,-,-,2,1,1,5,1,-,-,-,-,-,3 ,-,-,-,-,-,2 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,5,Bartolucci Valentina,-,-,-,*,*,*,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,6,De Nardi Giulia,-,-,-,-,*,-,-,-,-,-,-,-,-,-,1,-,1 ,100%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,7,Buijs Anne,-,-,-,3,3,2,-,-,8,3,5,11,2,-,-,-,-,-,27 ,-,1,8,30%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,8,Fersino Eleonora,L,-,-,*,*,*,-,-,-,-,-1,-,-,-,17,1,1 ,47%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,9,Bosetti Caterina,-,-,-,4,4,3,-,-,6,2,1,14,-,1,8,-,1 ,50%,21 ,3 ,2,5,24%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,10,Chirichella Cristina,-,C,-,5,5,4,-,-,13,9,12,6,1,1,-,-,-,-,13 ,-,-,8,62%,-,4 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,11,Danesi Anna,-,-,-,2,2,1,-,-,11,7,9,14,2,1,-,-,-,-,8 ,-,-,5,63%,-,5 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,13,Bonifacio Sara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,21,Akimova Vita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,23,Markova Marina,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,C,Igor Gorgonzola Novara,Igor Novara,24,Kapralova Anastasiia,-,-,-,*,-,6,-,-,5,3,1,3,1,1,3,-,1 ,-,10 ,2 ,1,4,40%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,1,Bovo Laura,-,-,-,-,-,*,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,2,Fitzmorris Audriana,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 ,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,3,Rozanski Olivia,-,-,-,*,*,4,-,-,2,-,-5,1,-,-,18,4,0 ,11%,11 ,1 ,2,2,18%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,4,Butigan Bozana,-,-,-,5,4,2,-,-,5,3,4,5,-,-,-,-,-,-,3 ,-,1,2,67%,-,3 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,6,Cecchetto Giada,L,-,-,*,*,*,-,-,-,-,-2,-,-,-,13,2,0 ,31%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,7,Da Silva Lorrayna Marys,-,-,-,3,2,6,-,-,8,3,-3,7,-,-,1,1,-,-,29 ,5 ,5,8,28%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,9,Pasquino Laura,-,-,-,-,*,*,-,-,-,-,-,1,-,-,-,-,-,-,1 ,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,10,Cicola Luna,-,-,-,*,-,*,-,-,-,-,-1,3,-,-,1,1,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,11,Nervini Stella,-,-,-,4,3,1,-,-,5,2,-3,11,1,1,7,-,0 ,29%,26 ,5 ,2,4,15%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,13,Pistolesi Aurora,-,-,-,-,*,-,-,-,-,-,-1,-,-,-,2,1,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,18,Davyskiba Anna,-,-,-,1,6,*,-,-,6,1,-9,5,4,-,22,7,0 ,36%,12 ,3 ,1,6,50%,-,-,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,19,Melandri Laura,-,-,-,2,1,5,-,-,7,3,6,13,1,-,3,-,1 ,67%,6 ,-,-,4,67%,-,3 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,23,Gennari Giulia,-,C,-,6,5,3,-,-,4,1,1,7,2,1,-,-,-,-,3 ,1 ,-,1,33%,-,2 ,,
2023/2024,A1,Regular_Season,2nd,12,-,3170,17/3/2024 ,19:30,2.100 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,24,Stampatti Viola,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,2,Bracchi Martina,-,-,-,3,2,3,*,-,12,6,-,10,-,1,22,5,1 ,23%,37 ,5 ,2,10,27%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,3,Fini Alessia,-,-,-,-,*,-,*,-,-,-,-1,-,-,-,3,1,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,4,Piva Rebecca,-,-,-,6,5,6,5,-,8,7,-1,15,1,-,21,4,0 ,10%,27 ,4 ,-,8,30%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,5,Fields Skylar,-,-,-,-,-,-,*,-,-,-,-,1,-,-,-,-,-,-,4 ,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,8,Lualdi Giuditta,-,C,-,1,6,1,6,-,10,3,8,8,-,-,-,-,-,-,18 ,1 ,1,9,50%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,10,Sartori Benedetta Maria,-,-,-,4,3,4,3,-,12,2,7,12,2,-,-,-,-,-,17 ,1 ,1,11,65%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,11,Carletti Federica,-,-,-,5,4,*,-,-,4,-,1,13,1,-,8,1,0 ,13%,7 ,-,1,4,57%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,12,Frosini Giorgia,-,-,-,-,*,5,4,-,9,3,3,6,2,-,-,-,-,-,17 ,2 ,2,6,35%,-,3 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,13,Giuliani Dominika,-,-,-,-,-,*,2,-,-,-,-5,5,2,-,9,1,1 ,-,10 ,-,2,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,14,Zannoni Giorgia,L,-,-,*,*,*,*,-,-,-,-,-,-,-,17,-,1 ,24%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,15,Sobolska Dominika,-,-,-,-,-,-,*,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,16,Valkova Katerina,-,-,-,*,*,-,*,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,19,Boldini Jennifer,-,-,-,2,1,2,1,-,5,4,5,12,-,-,-,-,-,-,2 ,-,-,1,50%,-,4 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,C,Uyba Volley Busto Arsizio,Uyba Busto Arsizio,28,Maspero Anna,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,1,Piani Vittoria,-,-,-,3,3,3,3,-,10,4,3,11,3,-,-,-,-,-,33 ,2 ,2,9,27%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,2,Plummer Kathryn,-,-,-,-,*,-,-,-,1,-,1,-,-,-,-,-,-,-,1 ,-,-,1,100%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,3,Robinson-Cook Kelsey,-,-,-,-,*,*,*,-,4,2,3,1,-,-,4,-,1 ,50%,8 ,-,1,4,50%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,4,Squarcini Federica,-,-,-,2,2,2,2,-,17,6,12,17,4,-,-,-,-,-,16 ,-,-,11,69%,-,6 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,5,De Kruijf Robin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,6,Gennari Alessia,-,-,-,4,4,4,4,-,16,9,12,14,-,2,31,2,1 ,10%,31 ,1 ,1,13,42%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,9,Lubian Marina,-,-,-,5,5,5,5,-,8,3,1,10,4,1,2,1,-,-,16 ,2 ,-,6,38%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,10,De Gennaro Monica,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,12,2,1 ,42%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,11,Haak Isabelle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,12,Bugg Madison,-,-,-,6,6,6,6,-,2,1,-2,25,3,1,-,-,-,-,3 ,-,1,1,33%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,14,Wolosz Joanna,-,-,-,-,*,-,-,-,1,1,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,16,Lanier Khalia,-,-,-,1,1,1,1,-,14,5,-,16,2,2,28,5,0 ,18%,35 ,2 ,5,12,34%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,19,Fahr Sarah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3176,24/3/2024 ,17:00,3.196 ,-,O,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,20,Bardaro Anna,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,1,Bovo Laura,-,-,-,-,-,-,-,*,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,2,Fitzmorris Audriana,-,-,-,-,-,-,-,*,-,-,-1,1,-,-,-,-,-,-,2 ,-,1,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,3,Rozanski Olivia,-,-,-,-,-,-,*,1,4,2,-1,3,2,-,15,2,1 ,13%,9 ,-,1,4,44%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,4,Butigan Bozana,-,-,-,5,4,5,4,5,11,7,10,14,-,2,-,-,-,-,13 ,-,1,6,46%,-,3 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,6,Cecchetto Giada,L,-,-,*,*,*,*,*,-,-,-3,-,-,-,28,3,1 ,36%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,7,Da Silva Lorrayna Marys,-,-,-,3,2,3,2,3,17,4,9,19,2,-,1,1,-,-,38 ,1 ,4,17,45%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,9,Pasquino Laura,-,-,-,-,-,-,*,*,3,1,2,4,1,1,-,-,-,-,1 ,-,-,1,100%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,10,Cicola Luna,-,-,-,*,*,*,*,*,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,11,Nervini Stella,-,-,-,4,3,4,3,4,12,4,4,12,2,-,20,1,0 ,15%,31 ,1 ,4,11,35%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,13,Pistolesi Aurora,-,-,-,*,-,*,*,*,-,-,-,5,-,-,5,-,0 ,20%,1 ,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,18,Davyskiba Anna,-,-,-,1,6,1,6,-,8,2,-1,6,1,-,26,3,1 ,31%,32 ,3 ,2,6,19%,-,2 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,19,Melandri Laura,-,-,-,2,1,2,1,2,10,4,7,14,-,3,1,1,-,-,12 ,-,2,5,42%,-,2 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,23,Gennari Giulia,-,C,-,6,5,6,5,6,9,3,6,10,2,-,1,-,-,-,10 ,-,1,7,70%,-,2 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,C,Volley Bergamo 1991,Volley Bergamo 1991,24,Bonfanti Arianna,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,2,Alberti Sara,-,-,-,-,4,5,5,5,7,2,6,9,-,-,-,-,-,-,9 ,-,1,5,56%,-,2 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,3,Herbots Britt,-,-,-,*,6,1,1,1,11,6,5,19,1,-,21,4,1 ,43%,25 ,-,1,10,40%,-,1 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,4,Zhu Ting,-,-,-,4,3,4,4,4,20,9,15,14,2,-,18,2,1 ,28%,36 ,-,1,17,47%,-,3 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,6,Ruddins Lindsey Ora,-,-,-,1,*,-,-,-,3,2,-,7,-,2,13,2,0 ,8%,9 ,-,1,1,11%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,7,Di Iulio Isabella,-,C,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,10,Ognjenovic Maja,-,-,-,6,5,6,6,6,4,1,2,19,2,1,-,-,-,-,3 ,-,-,3,100%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,11,Parrocchiale Beatrice,L,-,-,*,*,-,-,-,-,-,-3,-,-,-,13,3,0 ,23%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,13,Armini Martina,L,-,-,-,-,*,*,*,-,-,-2,-,-,-,19,2,1 ,32%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,14,Nwakalor Linda,-,-,-,5,*,-,-,-,1,-,-,2,-,-,-,-,-,-,2 ,-,1,1,50%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,15,Washington Haleigh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,16,Da Silva Ana Carolina,-,-,-,2,1,2,2,2,13,9,7,20,2,1,-,-,-,-,12 ,1 ,3,6,50%,-,6 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,17,Antropova Ekaterina,-,-,-,3,2,3,3,3,30,11,18,13,4,-,-,-,-,-,53 ,5 ,3,26,49%,-,4 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,18,Diop Binto,-,-,-,*,*,-,-,-,3,-,3,3,-,-,-,-,-,-,5 ,-,-,3,60%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3177,24/3/2024 ,17:00,1.756 ,-,O,Savino Del Bene Scandicci,Savino Del Bene Scandicci,19,Nowakowska Pola,-,-,-,-,-,-,-,*,-,-,-,2,-,-,1,-,1 ,100%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3178,24/3/2024 ,17:00,1.679 ,-,C,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,1,Provaroni Claudia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3178,24/3/2024 ,17:00,1.679 ,-,C,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,2,Degradi Alice,-,-,-,4,4,4,-,-,21,10,15,10,2,2,28,-,1 ,36%,37 ,1 ,3,19,51%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3178,24/3/2024 ,17:00,1.679 ,-,C,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,6,Cecconello Agnese,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3178,24/3/2024 ,17:00,1.679 ,-,C,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,7,Panetoni Sara,L,-,-,*,*,*,-,-,-,-,-,-,-,-,7,-,1 ,29%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3178,24/3/2024 ,17:00,1.679 ,-,C,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,8,Aleksic Maja,-,-,-,5,5,5,-,-,9,4,7,10,1,-,2,-,1 ,-,13 ,-,1,4,31%,-,5 ,,
2023/2024,A1,Regular_Season,2nd,13,-,3178,24/3/2024 ,17:00,1.679 ,-,C,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,9,Mingardi Camilla,-,-,-,6,6,6,-,-,10,3,2,13,2,-,-,-,-,-,34 ,3 ,3,10,29%,-,-,,
2023/2024,A1,Regular_Season,2nd,13,-,3178,24/3/2024 ,17:00,1.679 ,-,C,Megabox Ond. Savio Vallefoglia,Megabox Vallefoglia,10,Grosse Scharmann Lena,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
